Step nSia nVac sinked annihilated
100000000 2 103 33 17
200000000 1 110 29 20
300000000 0 111 29 17
400000000 0 114 38 13
500000000 0 115 27 21
600000000 0 115 31 18
700000000 2 116 21 29
800000000 3 116 31 16
900000000 1 116 23 26
1000000000 0 116 25 20
1100000000 0 116 23 29
1200000000 1 117 26 16
1300000000 0 117 27 25
1400000000 0 117 21 24
1500000000 1 117 21 26
1600000000 0 117 16 37
1700000000 1 117 13 34
1800000000 0 117 21 34
1900000000 1 117 18 34
2000000000 0 117 15 38
2100000000 0 117 13 38
2200000000 0 117 19 23
2300000000 1 117 18 36
2400000000 0 117 17 36
2500000000 0 117 18 38
2600000000 0 117 18 34
2700000000 0 117 15 30
2800000000 1 117 17 39
2900000000 0 117 14 37
3000000000 0 117 24 36
3100000000 0 118 16 36
3200000000 0 118 18 34
3300000000 0 118 14 35
3400000000 0 118 19 30
3500000000 0 118 8 45
3600000000 0 118 15 37
3700000000 0 118 15 39
3800000000 0 118 11 41
3900000000 0 118 12 34
4000000000 2 118 10 34
4100000000 0 118 11 40
4200000000 0 118 13 37
4300000000 0 118 14 38
4400000000 0 118 12 33
4500000000 0 118 11 40
4600000000 0 118 17 28
4700000000 1 118 15 40
4800000000 0 118 14 34
4900000000 0 118 13 47
5000000000 0 118 10 40
5100000000 0 118 10 43
5200000000 0 118 13 33
5300000000 0 118 13 41
5400000000 0 118 14 41
5500000000 0 118 8 43
5600000000 0 118 12 34
5700000000 0 118 15 39
5800000000 0 118 17 36
5900000000 1 118 13 38
6000000000 0 118 5 36
6100000000 0 118 16 38
6200000000 0 118 9 50
6300000000 0 118 13 38
6400000000 0 118 10 41
6500000000 0 118 13 38
6600000000 0 118 7 38
6700000000 0 118 7 41
6800000000 0 118 11 37
6900000000 0 118 11 56
7000000000 0 118 8 36
7100000000 0 118 11 39
7200000000 1 118 13 29
7300000000 0 118 6 40
7400000000 0 118 13 33
7500000000 1 118 10 43
7600000000 0 118 12 47
7700000000 0 118 13 38
7800000000 0 118 8 41
7900000000 0 118 10 38
8000000000 1 118 12 35
8100000000 0 118 10 38
8200000000 0 118 9 43
8300000000 0 118 9 37
8400000000 0 118 10 43
8500000000 0 118 10 36
8600000000 0 118 9 39
8700000000 0 118 11 47
8800000000 0 118 7 37
8900000000 0 118 9 35
9000000000 0 118 8 39
9100000000 0 118 8 43
9200000000 0 118 12 50
9300000000 0 118 11 42
9400000000 0 118 6 38
9500000000 0 118 8 48
9600000000 2 118 8 44
9700000000 0 118 12 40
9800000000 0 118 11 47
9900000000 0 118 9 39
10000000000 0 118 3 39
10100000000 0 118 6 43
10200000000 0 118 7 49
10300000000 0 118 7 46
10400000000 0 118 6 43
10500000000 0 118 2 44
10600000000 1 118 8 55
10700000000 0 118 9 51
10800000000 0 118 9 45
10900000000 0 118 5 37
11000000000 0 118 8 41
11100000000 0 118 4 47
11200000000 0 118 8 46
11300000000 1 118 5 41
11400000000 0 118 9 40
11500000000 0 118 6 41
11600000000 0 118 9 51
11700000000 0 118 8 39
11800000000 0 118 8 37
11900000000 1 118 3 48
12000000000 0 118 6 46
12100000000 0 118 3 48
12200000000 0 118 6 45
12300000000 0 118 5 48
12400000000 1 118 3 41
12500000000 0 118 6 49
12600000000 0 118 8 58
12700000000 0 118 6 45
12800000000 0 118 7 39
12900000000 0 118 5 42
13000000000 0 118 4 36
13100000000 0 118 8 44
13200000000 0 118 4 41
13300000000 0 118 14 39
13400000000 0 118 9 34
13500000000 0 118 7 49
13600000000 0 118 7 42
13700000000 0 118 6 44
13800000000 0 118 6 47
13900000000 0 118 11 46
14000000000 0 118 4 49
14100000000 0 118 11 37
14200000000 0 118 9 40
14300000000 0 118 10 40
14400000000 0 118 3 47
14500000000 1 118 7 42
14600000000 0 118 5 44
14700000000 0 118 7 46
14800000000 1 118 9 37
14900000000 0 118 6 46
15000000000 0 118 4 38
15100000000 0 118 8 45
15200000000 1 118 6 47
15300000000 0 118 8 40
15400000000 1 118 5 49
15500000000 0 118 7 47
15600000000 0 118 9 37
15700000000 0 118 6 41
15800000000 0 118 10 42
15900000000 0 118 7 39
16000000000 0 118 4 42
16100000000 0 118 3 37
16200000000 0 118 6 41
16300000000 0 118 10 41
16400000000 0 118 4 46
16500000000 1 118 6 43
16600000000 0 118 8 48
16700000000 0 118 6 47
16800000000 0 118 11 45
16900000000 0 118 8 39
17000000000 0 118 7 50
17100000000 0 118 7 37
17200000000 0 118 2 45
17300000000 0 118 9 44
17400000000 0 118 5 43
17500000000 0 118 6 38
17600000000 0 118 4 34
17700000000 1 118 8 41
17800000000 0 118 7 38
17900000000 0 118 16 42
18000000000 0 118 4 39
18100000000 0 118 7 51
18200000000 0 118 6 43
18300000000 0 118 12 44
18400000000 0 118 6 51
18500000000 0 118 7 40
18600000000 0 118 6 48
18700000000 0 118 8 40
18800000000 0 118 5 39
18900000000 0 118 7 47
19000000000 0 118 3 37
19100000000 0 118 7 38
19200000000 0 118 5 41
19300000000 0 118 4 42
19400000000 0 118 4 35
19500000000 0 118 5 50
19600000000 0 118 8 45
19700000000 0 118 4 36
19800000000 0 118 13 40
19900000000 0 118 5 42
20000000000 0 118 8 44
20100000000 0 118 4 48
20200000000 0 118 10 42
20300000000 0 118 7 47
20400000000 0 118 6 40
20500000000 0 118 6 51
20600000000 0 118 5 54
20700000000 0 118 7 40
20800000000 0 118 5 46
20900000000 0 118 7 49
21000000000 0 118 4 44
21100000000 1 118 4 58
21200000000 0 118 4 43
21300000000 0 118 9 38
21400000000 0 118 8 45
21500000000 0 118 3 38
21600000000 0 118 7 50
21700000000 0 118 10 39
21800000000 0 118 12 44
21900000000 0 118 5 43
22000000000 1 118 3 47
22100000000 0 118 3 40
22200000000 0 118 3 59
22300000000 1 118 5 38
22400000000 0 118 2 44
22500000000 0 118 4 42
22600000000 0 118 4 47
22700000000 0 118 2 47
22800000000 0 118 7 41
22900000000 0 118 6 46
23000000000 0 118 10 45
23100000000 0 118 3 41
23200000000 0 118 7 50
23300000000 0 118 4 48
23400000000 0 118 6 45
23500000000 0 118 4 43
23600000000 0 118 4 38
23700000000 0 118 5 51
23800000000 0 118 8 43
23900000000 0 118 4 46
24000000000 0 118 3 54
24100000000 0 118 6 36
24200000000 0 118 8 45
24300000000 0 118 3 45
24400000000 0 118 6 51
24500000000 0 118 4 49
24600000000 0 118 11 38
24700000000 0 118 6 45
24800000000 0 118 4 39
24900000000 0 118 3 48
25000000000 0 118 2 43
25100000000 0 118 3 51
25200000000 0 118 6 43
25300000000 0 118 10 36
25400000000 0 118 4 42
25500000000 0 118 7 43
25600000000 0 118 1 35
25700000000 0 118 6 47
25800000000 0 118 5 50
25900000000 0 118 5 55
26000000000 0 118 7 42
26100000000 0 118 5 53
26200000000 1 118 5 46
26300000000 0 118 4 50
26400000000 0 118 3 38
26500000000 0 118 2 37
26600000000 0 118 6 47
26700000000 0 118 3 56
26800000000 0 118 6 47
26900000000 0 118 2 47
27000000000 0 118 4 49
27100000000 0 118 4 51
27200000000 0 118 5 46
27300000000 0 118 5 45
27400000000 0 118 3 51
27500000000 1 118 3 41
27600000000 0 118 6 50
27700000000 0 118 6 45
27800000000 0 118 8 42
27900000000 0 118 6 49
28000000000 0 118 3 44
28100000000 0 118 4 45
28200000000 0 118 5 46
28300000000 0 118 6 45
28400000000 0 118 4 50
28500000000 0 118 4 52
28600000000 0 118 2 54
28700000000 0 118 6 45
28800000000 0 118 4 41
28900000000 0 118 2 52
29000000000 0 118 3 55
29100000000 0 118 2 50
29200000000 0 118 3 57
29300000000 0 118 2 41
29400000000 0 118 7 45
29500000000 0 118 8 42
29600000000 0 118 3 40
29700000000 0 118 2 46
29800000000 0 118 5 43
29900000000 0 118 3 55
30000000000 0 118 6 40
30100000000 0 118 5 46
30200000000 0 118 5 46
30300000000 0 118 4 55
30400000000 0 118 3 46
30500000000 0 118 4 43
30600000000 0 118 4 48
30700000000 0 118 4 46
30800000000 0 118 4 41
30900000000 0 118 3 47
31000000000 0 118 3 42
31100000000 0 118 1 37
31200000000 1 118 7 47
31300000000 0 118 4 45
31400000000 0 118 5 51
31500000000 0 118 7 49
31600000000 0 118 6 48
31700000000 0 118 4 44
31800000000 0 118 2 45
31900000000 0 118 5 29
32000000000 0 118 7 42
32100000000 0 118 8 49
32200000000 0 118 10 41
32300000000 0 118 2 48
32400000000 0 118 8 49
32500000000 0 118 1 47
32600000000 0 118 3 48
32700000000 0 118 7 50
32800000000 0 118 1 49
32900000000 0 118 1 37
33000000000 0 118 6 40
33100000000 0 118 9 41
33200000000 0 118 4 44
33300000000 0 118 3 50
33400000000 0 118 4 43
33500000000 0 118 3 54
33600000000 0 118 7 46
33700000000 0 118 1 47
33800000000 0 118 0 41
33900000000 0 118 6 48
34000000000 0 118 4 49
34100000000 0 118 5 45
34200000000 0 118 3 44
34300000000 0 118 4 44
34400000000 0 118 4 45
34500000000 0 118 2 50
34600000000 0 118 7 43
34700000000 0 118 4 43
34800000000 0 118 4 40
34900000000 0 118 5 50
35000000000 0 118 4 47
35100000000 0 118 3 46
35200000000 0 118 2 42
35300000000 0 118 2 47
35400000000 0 118 6 41
35500000000 0 118 2 51
35600000000 0 118 4 39
35700000000 0 118 6 52
35800000000 0 118 2 56
35900000000 0 118 5 49
36000000000 1 118 3 43
36100000000 0 118 2 48
36200000000 0 118 2 52
36300000000 0 118 5 49
36400000000 0 118 5 53
36500000000 0 118 6 46
36600000000 0 118 4 47
